date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:27	60767/60767	---M--	200	added ('OK')	binary/octet-stream	etag:%22f7c2b4b747b1a225eb8dee034134a1b0%22	https://msrit.edu/fonts/fontawesome-webfont.eot?v=4.3.0	/root/websites/msrit/msrit.edu/fonts/fontawesome-webfonte0a5.eot	(from https://msrit.edu/css/font-awesome.min.css)
16:17:27	60767/60767	---M--	200	added ('OK')	binary/octet-stream	etag:%22f7c2b4b747b1a225eb8dee034134a1b0%22	https://msrit.edu/fonts/fontawesome-webfont.eot?	/root/websites/msrit/msrit.edu/fonts/fontawesome-webfontd41d.eot	(from https://msrit.edu/css/font-awesome.min.css)
16:17:28	56780/56780	---M--	200	added ('OK')	binary/octet-stream	etag:%2297493d3f11c0a3bd5cbd959f5d19b699%22	https://msrit.edu/fonts/fontawesome-webfont.woff2?v=4.3.0	/root/websites/msrit/msrit.edu/fonts/fontawesome-webfonte0a5.woff2	(from https://msrit.edu/css/font-awesome.min.css)
16:17:29	71508/71508	---M--	200	added ('OK')	application/font-woff	etag:%22d9ee23d59d0e0e727b51368b458a0bff%22	https://msrit.edu/fonts/fontawesome-webfont.woff?v=4.3.0	/root/websites/msrit/msrit.edu/fonts/fontawesome-webfonte0a5.woff	(from https://msrit.edu/css/font-awesome.min.css)
16:17:31	122092/122092	---M--	200	added ('OK')	binary/octet-stream	etag:%22706450d7bba6374ca02fe167d86685cb%22	https://msrit.edu/fonts/fontawesome-webfont.ttf?v=4.3.0	/root/websites/msrit/msrit.edu/fonts/fontawesome-webfonte0a5.ttf	(from https://msrit.edu/css/font-awesome.min.css)
16:17:32	313398/313398	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222980083682e94d33a66eef2e7d612519%22	https://msrit.edu/fonts/fontawesome-webfont.svg?v=4.3.0	/root/websites/msrit/msrit.edu/fonts/fontawesome-webfonte0a5.svg	(from https://msrit.edu/css/font-awesome.min.css)
16:17:32	367/367	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:11%20GMT	https://msrit.edu/images/background/menu-arrow.png	/root/websites/msrit/msrit.edu/images/background/menu-arrow.png	(from https://msrit.edu/css/superfish.css)
16:17:33	363/363	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:11%20GMT	https://msrit.edu/css/images/icons/loading.gif	/root/websites/msrit/msrit.edu/css/images/icons/loading.gif	(from https://msrit.edu/css/owl.theme.css)
16:17:35	137472/137472	---M--	200	added ('OK')	binary/octet-stream	etag:%2289aec2cc0b804667e95b1adc02e1ac4a%22	https://msrit.edu/fonts/gotham/Gotham-Black_0.otf	/root/websites/msrit/msrit.edu/fonts/gotham/Gotham-Black_0.otf	(from https://msrit.edu/style.css)
16:17:35	369/369	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:48:14%20GMT	https://msrit.edu/fonts/gotham/Gotham-Blacklta_0.otf	/root/websites/msrit/msrit.edu/fonts/gotham/Gotham-Blacklta_0.otf	(from https://msrit.edu/style.css)
